classroom_id,date,day,period,students_present,source
A202,2026-08-05,Fri,6,28.0,qr_checkin
A202,2026-08-05,Fri,7,0.0,wifi_log
A202,2026-08-05,Fri,8,54.0,wifi_log
A303,2026-08-02,Mon,1,36.0,wifi_log
A303,2026-08-02,Mon,2,44.0,qr_checkin
A303,2026-08-02,Mon,3,45.0,qr_checkin
A303,2026-08-02,Mon,4,13.0,wifi_log
A303,2026-08-02,Mon,5,13.0,wifi_log
A303,2026-08-02,Mon,6,16.0,wifi_log
A303,2026-08-02,Mon,7,44.0,wifi_log
A303,2026-08-02,Mon,8,6.0,wifi_log
A303,2026-08-12,Tue,1,0.0,qr_checkin
A303,2026-08-12,Tue,2,46.0,wifi_log
A303,2026-08-12,Tue,3,43.0,wifi_log
A303,2026-08-12,Tue,4,36.0,wifi_log
A303,2026-08-12,Tue,5,3.0,qr_checkin
A303,2026-08-12,Tue,6,39.0,wifi_log
A303,2026-08-12,Tue,7,12.0,wifi_log
A303,2026-08-12,Tue,8,,wifi_log
A303,2026-08-17,Wed,1,10.0,wifi_log
A303,2026-08-17,Wed,2,12.0,wifi_log
A303,2026-08-17,Wed,3,11.0,wifi_log
A303,2026-08-17,Wed,4,43.0,wifi_log
A303,2026-08-17,Wed,5,0.0,qr_checkin
A303,2026-08-17,Wed,6,44.0,wifi_log
A303,2026-08-17,Wed,7,40.0,wifi_log
A303,2026-08-17,Wed,8,32.0,wifi_log
A303,2026-08-08,Thu,1,9.0,qr_checkin
A303,2026-08-08,Thu,2,,wifi_log
A303,2026-08-08,Thu,3,,wifi_log
A303,2026-08-08,Thu,4,43.0,wifi_log
A303,2026-08-08,Thu,5,2.0,qr_checkin
A303,2026-08-08,Thu,6,44.0,wifi_log
A303,2026-08-08,Thu,7,31.0,wifi_log
A303,2026-08-08,Thu,8,2.0,wifi_log
A303,2026-08-05,Fri,1,17.0,wifi_log
A303,2026-08-05,Fri,2,36.0,qr_checkin
A303,2026-08-05,Fri,3,0.0,wifi_log
A303,2026-08-05,Fri,4,0.0,wifi_log
A303,2026-08-05,Fri,5,44.0,qr_checkin
A303,2026-08-05,Fri,6,15.0,qr_checkin
A303,2026-08-05,Fri,7,0.0,wifi_log
A303,2026-08-05,Fri,8,17.0,wifi_log
A104,2026-08-02,Mon,1,4.0,wifi_log
A104,2026-08-02,Mon,2,,qr_checkin
A104,2026-08-02,Mon,3,42.0,wifi_log
A104,2026-08-02,Mon,4,17.0,wifi_log
A104,2026-08-02,Mon,5,4.0,qr_checkin
A104,2026-08-02,Mon,6,34.0,wifi_log
A104,2026-08-02,Mon,7,0.0,wifi_log
A104,2026-08-02,Mon,8,30.0,wifi_log
A104,2026-08-12,Tue,1,21.0,qr_checkin
A104,2026-08-12,Tue,2,35.0,wifi_log
A104,2026-08-12,Tue,3,12.0,wifi_log
A104,2026-08-12,Tue,4,0.0,wifi_log
A104,2026-08-12,Tue,5,0.0,wifi_log
A104,2026-08-12,Tue,6,37.0,qr_checkin
A104,2026-08-12,Tue,7,4.0,qr_checkin
A104,2026-08-12,Tue,8,41.0,qr_checkin
A104,2026-08-17,Wed,1,0.0,wifi_log
A104,2026-08-17,Wed,2,2.0,qr_checkin
A104,2026-08-17,Wed,3,39.0,wifi_log
A104,2026-08-17,Wed,4,17.0,wifi_log
A104,2026-08-17,Wed,5,0.0,qr_checkin
A104,2026-08-17,Wed,6,0.0,wifi_log
A104,2026-08-17,Wed,7,17.0,wifi_log
A104,2026-08-17,Wed,8,31.0,wifi_log
A104,2026-08-08,Thu,1,40.0,wifi_log
A104,2026-08-08,Thu,2,13.0,qr_checkin
A104,2026-08-08,Thu,3,1.0,wifi_log
A104,2026-08-08,Thu,4,0.0,qr_checkin
A104,2026-08-08,Thu,5,0.0,wifi_log
A104,2026-08-08,Thu,6,1.0,qr_checkin
A104,2026-08-08,Thu,7,1.0,wifi_log
A104,2026-08-08,Thu,8,0.0,qr_checkin
A104,2026-08-05,Fri,1,0.0,wifi_log
A104,2026-08-05,Fri,2,16.0,wifi_log
A104,2026-08-05,Fri,3,10.0,wifi_log
A104,2026-08-05,Fri,4,40.0,qr_checkin
A104,2026-08-05,Fri,5,31.0,wifi_log
A104,2026-08-05,Fri,6,3.0,wifi_log
A104,2026-08-05,Fri,7,14.0,qr_checkin
A104,2026-08-05,Fri,8,34.0,wifi_log
A205,2026-08-02,Mon,1,18.0,wifi_log
A205,2026-08-02,Mon,2,26.0,qr_checkin
A205,2026-08-02,Mon,3,23.0,wifi_log
A205,2026-08-02,Mon,4,21.0,wifi_log
A205,2026-08-02,Mon,5,8.0,qr_checkin
A205,2026-08-02,Mon,6,27.0,wifi_log
A205,2026-08-02,Mon,7,24.0,wifi_log
A205,2026-08-02,Mon,8,11.0,wifi_log
A205,2026-08-12,Tue,1,24.0,wifi_log
A205,2026-08-12,Tue,2,1.0,qr_checkin
A205,2026-08-12,Tue,3,20.0,wifi_log
A205,2026-08-12,Tue,4,27.0,wifi_log
A205,2026-08-12,Tue,5,27.0,wifi_log
A205,2026-08-12,Tue,6,26.0,wifi_log
A205,2026-08-12,Tue,7,19.0,qr_checkin
A205,2026-08-12,Tue,8,23.0,qr_checkin
A205,2026-08-17,Wed,1,1.0,wifi_log
A205,2026-08-17,Wed,2,27.0,wifi_log
A205,2026-08-17,Wed,3,2.0,wifi_log
A205,2026-08-17,Wed,4,20.0,qr_checkin
A205,2026-08-17,Wed,5,6.0,wifi_log
A205,2026-08-17,Wed,6,19.0,wifi_log
A205,2026-08-17,Wed,7,24.0,wifi_log
A205,2026-08-17,Wed,8,21.0,wifi_log
A205,2026-08-08,Thu,1,20.0,wifi_log
A205,2026-08-08,Thu,2,12.0,qr_checkin
A205,2026-08-08,Thu,3,26.0,wifi_log
A205,2026-08-08,Thu,4,28.0,qr_checkin
A205,2026-08-08,Thu,5,20.0,wifi_log
A205,2026-08-08,Thu,6,27.0,wifi_log
A205,2026-08-08,Thu,7,10.0,wifi_log
A205,2026-08-08,Thu,8,0.0,wifi_log
A205,2026-08-05,Fri,1,0.0,qr_checkin
A205,2026-08-05,Fri,2,23.0,wifi_log
A205,2026-08-05,Fri,3,26.0,wifi_log
A205,2026-08-05,Fri,4,0.0,wifi_log
A205,2026-08-05,Fri,5,22.0,wifi_log
A205,2026-08-05,Fri,6,7.0,wifi_log
A205,2026-08-05,Fri,7,10.0,wifi_log
A205,2026-08-05,Fri,8,5.0,wifi_log
A306,2026-08-02,Mon,1,20.0,qr_checkin
A306,2026-08-02,Mon,2,27.0,wifi_log
A306,2026-08-02,Mon,3,0.0,wifi_log
A306,2026-08-02,Mon,4,5.0,wifi_log
A306,2026-08-02,Mon,5,26.0,wifi_log
A306,2026-08-02,Mon,6,22.0,wifi_log
A306,2026-08-02,Mon,7,20.0,wifi_log
A306,2026-08-02,Mon,8,10.0,wifi_log
A306,2026-08-12,Tue,1,24.0,qr_checkin
A306,2026-08-12,Tue,2,23.0,wifi_log
A306,2026-08-12,Tue,3,8.0,qr_checkin
A306,2026-08-12,Tue,4,7.0,wifi_log
A306,2026-08-12,Tue,5,10.0,wifi_log
A306,2026-08-12,Tue,6,0.0,qr_checkin
A306,2026-08-12,Tue,7,23.0,wifi_log
A306,2026-08-12,Tue,8,28.0,wifi_log
A306,2026-08-17,Wed,1,12.0,wifi_log
A306,2026-08-17,Wed,2,8.0,qr_checkin
A306,2026-08-17,Wed,3,2.0,wifi_log
A306,2026-08-17,Wed,4,12.0,qr_checkin
A306,2026-08-17,Wed,5,28.0,wifi_log
A306,2026-08-17,Wed,6,21.0,qr_checkin
A306,2026-08-17,Wed,7,0.0,wifi_log
A306,2026-08-17,Wed,8,18.0,wifi_log
A306,2026-08-08,Thu,1,0.0,qr_checkin
A306,2026-08-08,Thu,2,0.0,wifi_log
A306,2026-08-08,Thu,3,0.0,qr_checkin
A306,2026-08-08,Thu,4,19.0,wifi_log
A306,2026-08-08,Thu,5,25.0,wifi_log
A306,2026-08-08,Thu,6,28.0,wifi_log
A306,2026-08-08,Thu,7,21.0,wifi_log
A306,2026-08-08,Thu,8,21.0,qr_checkin
A306,2026-08-05,Fri,1,22.0,qr_checkin
A306,2026-08-05,Fri,2,20.0,wifi_log
A306,2026-08-05,Fri,3,27.0,qr_checkin
A306,2026-08-05,Fri,4,18.0,wifi_log
A306,2026-08-05,Fri,5,21.0,wifi_log
A306,2026-08-05,Fri,6,19.0,qr_checkin
A306,2026-08-05,Fri,7,1.0,wifi_log
A306,2026-08-05,Fri,8,28.0,qr_checkin
A107,2026-08-02,Mon,1,28.0,wifi_log
A107,2026-08-02,Mon,2,26.0,wifi_log
A107,2026-08-02,Mon,3,23.0,wifi_log
A107,2026-08-02,Mon,4,24.0,wifi_log
A107,2026-08-02,Mon,5,19.0,wifi_log
A107,2026-08-02,Mon,6,18.0,wifi_log
A107,2026-08-02,Mon,7,26.0,wifi_log
A107,2026-08-02,Mon,8,0.0,qr_checkin
A107,2026-08-12,Tue,1,26.0,wifi_log
A107,2026-08-12,Tue,2,27.0,wifi_log
A107,2026-08-12,Tue,3,11.0,wifi_log
A107,2026-08-12,Tue,4,28.0,wifi_log
A107,2026-08-12,Tue,5,18.0,wifi_log
A107,2026-08-12,Tue,6,19.0,qr_checkin
A107,2026-08-12,Tue,7,25.0,qr_checkin
A107,2026-08-12,Tue,8,2.0,wifi_log
A107,2026-08-17,Wed,1,0.0,wifi_log
A107,2026-08-17,Wed,2,19.0,wifi_log
A107,2026-08-17,Wed,3,26.0,wifi_log
A107,2026-08-17,Wed,4,19.0,qr_checkin
A107,2026-08-17,Wed,5,28.0,wifi_log
A107,2026-08-17,Wed,6,22.0,wifi_log
A107,2026-08-17,Wed,7,22.0,wifi_log
A107,2026-08-17,Wed,8,18.0,qr_checkin
A107,2026-08-08,Thu,1,20.0,wifi_log
A107,2026-08-08,Thu,2,22.0,wifi_log
A107,2026-08-08,Thu,3,7.0,wifi_log
A107,2026-08-08,Thu,4,0.0,wifi_log
A107,2026-08-08,Thu,5,19.0,qr_checkin
A107,2026-08-08,Thu,6,24.0,wifi_log
A107,2026-08-08,Thu,7,27.0,wifi_log
A107,2026-08-08,Thu,8,24.0,wifi_log
A107,2026-08-05,Fri,1,23.0,wifi_log
A107,2026-08-05,Fri,2,0.0,qr_checkin
A107,2026-08-05,Fri,3,19.0,qr_checkin
A107,2026-08-05,Fri,4,27.0,wifi_log
A107,2026-08-05,Fri,5,25.0,qr_checkin
A107,2026-08-05,Fri,6,28.0,qr_checkin
A107,2026-08-05,Fri,7,10.0,wifi_log
A107,2026-08-05,Fri,8,27.0,wifi_log
A208,2026-08-02,Mon,1,52.0,wifi_log
A208,2026-08-02,Mon,2,1.0,wifi_log
A208,2026-08-02,Mon,3,20.0,wifi_log
A208,2026-08-02,Mon,4,0.0,wifi_log
A208,2026-08-02,Mon,5,0.0,qr_checkin
A208,2026-08-02,Mon,6,51.0,qr_checkin
A208,2026-08-02,Mon,7,15.0,wifi_log
A208,2026-08-02,Mon,8,10.0,wifi_log
A208,2026-08-12,Tue,1,5.0,wifi_log
A208,2026-08-12,Tue,2,0.0,wifi_log
A208,2026-08-12,Tue,3,1.0,wifi_log
A208,2026-08-12,Tue,4,42.0,wifi_log
A208,2026-08-12,Tue,5,52.0,qr_checkin
A208,2026-08-12,Tue,6,0.0,wifi_log
A208,2026-08-12,Tue,7,48.0,wifi_log
A208,2026-08-12,Tue,8,7.0,wifi_log
A208,2026-08-17,Wed,1,0.0,wifi_log
A208,2026-08-17,Wed,2,0.0,wifi_log
A208,2026-08-17,Wed,3,12.0,wifi_log
A208,2026-08-17,Wed,4,0.0,wifi_log
A208,2026-08-17,Wed,5,1.0,qr_checkin
A208,2026-08-17,Wed,6,26.0,wifi_log
A208,2026-08-17,Wed,7,8.0,wifi_log
A208,2026-08-17,Wed,8,10.0,wifi_log
A208,2026-08-08,Thu,1,23.0,wifi_log
A208,2026-08-08,Thu,2,13.0,wifi_log
A208,2026-08-08,Thu,3,37.0,wifi_log
A208,2026-08-08,Thu,4,36.0,qr_checkin
A208,2026-08-08,Thu,5,56.0,wifi_log
A208,2026-08-08,Thu,6,39.0,qr_checkin
A208,2026-08-08,Thu,7,43.0,qr_checkin
A208,2026-08-08,Thu,8,15.0,wifi_log
A208,2026-08-05,Fri,1,53.0,wifi_log
A208,2026-08-05,Fri,2,2.0,wifi_log
A208,2026-08-05,Fri,3,12.0,qr_checkin
A208,2026-08-05,Fri,4,49.0,wifi_log
A208,2026-08-05,Fri,5,12.0,wifi_log
A208,2026-08-05,Fri,6,47.0,qr_checkin
A208,2026-08-05,Fri,7,55.0,wifi_log
A208,2026-08-05,Fri,8,2.0,wifi_log
A309,2026-08-02,Mon,1,31.0,wifi_log
A309,2026-08-02,Mon,2,30.0,qr_checkin
A309,2026-08-02,Mon,3,4.0,wifi_log
A309,2026-08-02,Mon,4,12.0,wifi_log
A309,2026-08-02,Mon,5,14.0,wifi_log
A309,2026-08-02,Mon,6,42.0,wifi_log
A309,2026-08-02,Mon,7,37.0,wifi_log
A309,2026-08-02,Mon,8,0.0,wifi_log
A309,2026-08-12,Tue,1,44.0,qr_checkin
A309,2026-08-12,Tue,2,0.0,wifi_log
A309,2026-08-12,Tue,3,21.0,qr_checkin
A309,2026-08-12,Tue,4,43.0,wifi_log
A309,2026-08-12,Tue,5,0.0,wifi_log
A309,2026-08-12,Tue,6,18.0,wifi_log
A309,2026-08-12,Tue,7,,qr_checkin
A309,2026-08-12,Tue,8,0.0,wifi_log
A309,2026-08-17,Wed,1,30.0,wifi_log
A309,2026-08-17,Wed,2,2.0,qr_checkin
A309,2026-08-17,Wed,3,44.0,qr_checkin
A309,2026-08-17,Wed,4,10.0,wifi_log
A309,2026-08-17,Wed,5,42.0,wifi_log
A309,2026-08-17,Wed,6,39.0,wifi_log
A309,2026-08-17,Wed,7,2.0,wifi_log
A309,2026-08-17,Wed,8,35.0,wifi_log
A309,2026-08-08,Thu,1,43.0,wifi_log
A309,2026-08-08,Thu,2,10.0,wifi_log
A309,2026-08-08,Thu,3,18.0,wifi_log
A309,2026-08-08,Thu,4,45.0,wifi_log
A309,2026-08-08,Thu,5,15.0,wifi_log
A309,2026-08-08,Thu,6,36.0,wifi_log
A309,2026-08-08,Thu,7,45.0,wifi_log
A309,2026-08-08,Thu,8,40.0,wifi_log
A309,2026-08-05,Fri,1,0.0,qr_checkin
A309,2026-08-05,Fri,2,1.0,qr_checkin
A309,2026-08-05,Fri,3,12.0,wifi_log
A309,2026-08-05,Fri,4,0.0,wifi_log
A309,2026-08-05,Fri,5,31.0,qr_checkin
A309,2026-08-05,Fri,6,42.0,qr_checkin
A309,2026-08-05,Fri,7,40.0,wifi_log
A309,2026-08-05,Fri,8,46.0,qr_checkin
A110,2026-08-02,Mon,1,44.0,wifi_log
A110,2026-08-02,Mon,2,1.0,qr_checkin
A110,2026-08-02,Mon,3,37.0,wifi_log
A110,2026-08-02,Mon,4,46.0,wifi_log
A110,2026-08-02,Mon,5,38.0,wifi_log
A110,2026-08-02,Mon,6,0.0,wifi_log
A110,2026-08-02,Mon,7,45.0,wifi_log
A110,2026-08-02,Mon,8,16.0,wifi_log
A110,2026-08-12,Tue,1,15.0,wifi_log
A110,2026-08-12,Tue,2,38.0,qr_checkin
A110,2026-08-12,Tue,3,38.0,wifi_log
A110,2026-08-12,Tue,4,0.0,qr_checkin
A110,2026-08-12,Tue,5,37.0,qr_checkin
A110,2026-08-12,Tue,6,33.0,wifi_log
A110,2026-08-12,Tue,7,0.0,qr_checkin
A110,2026-08-12,Tue,8,10.0,wifi_log
A110,2026-08-17,Wed,1,1.0,wifi_log
A110,2026-08-17,Wed,2,14.0,wifi_log
A110,2026-08-17,Wed,3,41.0,qr_checkin
A110,2026-08-17,Wed,4,39.0,wifi_log
A110,2026-08-17,Wed,5,20.0,qr_checkin
A110,2026-08-17,Wed,6,46.0,qr_checkin
A110,2026-08-17,Wed,7,35.0,wifi_log
A110,2026-08-17,Wed,8,0.0,wifi_log
A110,2026-08-08,Thu,1,41.0,qr_checkin
A110,2026-08-08,Thu,2,43.0,qr_checkin
A110,2026-08-08,Thu,3,,qr_checkin
A110,2026-08-08,Thu,4,44.0,wifi_log
A110,2026-08-08,Thu,5,30.0,qr_checkin
A110,2026-08-08,Thu,6,39.0,wifi_log
A110,2026-08-08,Thu,7,30.0,wifi_log
A110,2026-08-08,Thu,8,47.0,wifi_log
A110,2026-08-05,Fri,1,0.0,wifi_log
A110,2026-08-05,Fri,2,33.0,qr_checkin
A110,2026-08-05,Fri,3,2.0,wifi_log
A110,2026-08-05,Fri,4,43.0,wifi_log
A110,2026-08-05,Fri,5,46.0,qr_checkin
A110,2026-08-05,Fri,6,0.0,wifi_log
A110,2026-08-05,Fri,7,43.0,qr_checkin
A110,2026-08-05,Fri,8,0.0,qr_checkin
A211,2026-08-02,Mon,1,0.0,wifi_log
A211,2026-08-02,Mon,2,27.0,wifi_log
A211,2026-08-02,Mon,3,1.0,qr_checkin
A211,2026-08-02,Mon,4,2.0,wifi_log
A211,2026-08-02,Mon,5,27.0,wifi_log
A211,2026-08-02,Mon,6,6.0,qr_checkin
A211,2026-08-02,Mon,7,12.0,wifi_log
A211,2026-08-02,Mon,8,0.0,wifi_log
A211,2026-08-12,Tue,1,22.0,qr_checkin
A211,2026-08-12,Tue,2,23.0,wifi_log
A211,2026-08-12,Tue,3,13.0,wifi_log
A211,2026-08-12,Tue,4,0.0,qr_checkin
A211,2026-08-12,Tue,5,28.0,qr_checkin
A211,2026-08-12,Tue,6,4.0,wifi_log
A211,2026-08-12,Tue,7,18.0,qr_checkin
A211,2026-08-12,Tue,8,19.0,qr_checkin
A211,2026-08-17,Wed,1,27.0,wifi_log
A211,2026-08-17,Wed,2,28.0,wifi_log
A211,2026-08-17,Wed,3,10.0,wifi_log
A211,2026-08-17,Wed,4,24.0,wifi_log
A211,2026-08-17,Wed,5,,wifi_log
A211,2026-08-17,Wed,6,12.0,wifi_log
A211,2026-08-17,Wed,7,5.0,qr_checkin
A211,2026-08-17,Wed,8,19.0,wifi_log
A211,2026-08-08,Thu,1,23.0,wifi_log
A211,2026-08-08,Thu,2,6.0,qr_checkin
A211,2026-08-08,Thu,3,10.0,wifi_log
A211,2026-08-08,Thu,4,25.0,qr_checkin
A211,2026-08-08,Thu,5,0.0,wifi_log
A211,2026-08-08,Thu,6,5.0,wifi_log
A211,2026-08-08,Thu,7,12.0,wifi_log
A211,2026-08-08,Thu,8,1.0,wifi_log
A211,2026-08-05,Fri,1,2.0,wifi_log
A211,2026-08-05,Fri,2,25.0,wifi_log
A211,2026-08-05,Fri,3,11.0,wifi_log
A211,2026-08-05,Fri,4,0.0,wifi_log
A211,2026-08-05,Fri,5,26.0,wifi_log
A211,2026-08-05,Fri,6,20.0,wifi_log
A211,2026-08-05,Fri,7,21.0,wifi_log
A211,2026-08-05,Fri,8,2.0,wifi_log
A312,2026-08-02,Mon,1,59.0,qr_checkin
A312,2026-08-02,Mon,2,57.0,qr_checkin
A312,2026-08-02,Mon,3,0.0,wifi_log
A312,2026-08-02,Mon,4,13.0,wifi_log
A312,2026-08-02,Mon,5,,wifi_log
A312,2026-08-02,Mon,6,5.0,wifi_log
A312,2026-08-02,Mon,7,56.0,wifi_log
A312,2026-08-02,Mon,8,27.0,wifi_log
A312,2026-08-12,Tue,1,0.0,wifi_log
A312,2026-08-12,Tue,2,14.0,qr_checkin
A312,2026-08-12,Tue,3,53.0,qr_checkin
A312,2026-08-12,Tue,4,70.0,qr_checkin
A312,2026-08-12,Tue,5,59.0,wifi_log
A312,2026-08-12,Tue,6,21.0,wifi_log
A312,2026-08-12,Tue,7,69.0,qr_checkin
A312,2026-08-12,Tue,8,49.0,wifi_log
A312,2026-08-17,Wed,1,56.0,qr_checkin
A312,2026-08-17,Wed,2,50.0,wifi_log
A312,2026-08-17,Wed,3,58.0,qr_checkin
A312,2026-08-17,Wed,4,67.0,wifi_log
A312,2026-08-17,Wed,5,73.0,qr_checkin
A312,2026-08-17,Wed,6,72.0,qr_checkin
A312,2026-08-17,Wed,7,15.0,qr_checkin
A312,2026-08-17,Wed,8,71.0,qr_checkin
A312,2026-08-08,Thu,1,0.0,wifi_log
A312,2026-08-08,Thu,2,62.0,qr_checkin
A312,2026-08-08,Thu,3,48.0,wifi_log
A312,2026-08-08,Thu,4,0.0,wifi_log
A312,2026-08-08,Thu,5,54.0,qr_checkin
A312,2026-08-08,Thu,6,63.0,wifi_log
A312,2026-08-08,Thu,7,62.0,qr_checkin
A312,2026-08-08,Thu,8,29.0,wifi_log
A312,2026-08-05,Fri,1,51.0,wifi_log
A312,2026-08-05,Fri,2,56.0,qr_checkin
A312,2026-08-05,Fri,3,66.0,wifi_log
A312,2026-08-05,Fri,4,65.0,qr_checkin
A312,2026-08-05,Fri,5,,wifi_log
A312,2026-08-05,Fri,6,49.0,wifi_log
A312,2026-08-05,Fri,7,56.0,wifi_log
A312,2026-08-05,Fri,8,57.0,wifi_log
B101,2026-08-02,Mon,1,21.0,wifi_log
B101,2026-08-02,Mon,2,50.0,wifi_log
B101,2026-08-02,Mon,3,43.0,wifi_log
B101,2026-08-02,Mon,4,0.0,wifi_log
B101,2026-08-02,Mon,5,0.0,qr_checkin
B101,2026-08-02,Mon,6,36.0,qr_checkin
B101,2026-08-02,Mon,7,16.0,wifi_log
B101,2026-08-02,Mon,8,39.0,wifi_log
B101,2026-08-12,Tue,1,46.0,wifi_log
B101,2026-08-12,Tue,2,46.0,wifi_log
B101,2026-08-12,Tue,3,0.0,wifi_log
B101,2026-08-12,Tue,4,37.0,wifi_log
B101,2026-08-12,Tue,5,37.0,wifi_log
B101,2026-08-12,Tue,6,49.0,wifi_log
B101,2026-08-12,Tue,7,56.0,wifi_log
B101,2026-08-12,Tue,8,50.0,wifi_log
B101,2026-08-17,Wed,1,41.0,qr_checkin
B101,2026-08-17,Wed,2,55.0,wifi_log
B101,2026-08-17,Wed,3,55.0,qr_checkin
B101,2026-08-17,Wed,4,40.0,qr_checkin
B101,2026-08-17,Wed,5,50.0,wifi_log
B101,2026-08-17,Wed,6,48.0,wifi_log
B101,2026-08-17,Wed,7,56.0,qr_checkin
B101,2026-08-17,Wed,8,19.0,wifi_log
B101,2026-08-08,Thu,1,36.0,wifi_log
B101,2026-08-08,Thu,2,51.0,wifi_log
B101,2026-08-08,Thu,3,41.0,qr_checkin
B101,2026-08-08,Thu,4,36.0,wifi_log
B101,2026-08-08,Thu,5,49.0,qr_checkin
B101,2026-08-08,Thu,6,37.0,qr_checkin
B101,2026-08-08,Thu,7,,wifi_log
B101,2026-08-08,Thu,8,40.0,wifi_log
B101,2026-08-05,Fri,1,37.0,qr_checkin
B101,2026-08-05,Fri,2,48.0,wifi_log
B101,2026-08-05,Fri,3,55.0,qr_checkin
B101,2026-08-05,Fri,4,53.0,wifi_log
B101,2026-08-05,Fri,5,40.0,qr_checkin
B101,2026-08-05,Fri,6,51.0,wifi_log
B101,2026-08-05,Fri,7,43.0,wifi_log
B101,2026-08-05,Fri,8,47.0,wifi_log
B202,2026-08-02,Mon,1,0.0,qr_checkin
B202,2026-08-02,Mon,2,22.0,wifi_log
B202,2026-08-02,Mon,3,26.0,wifi_log
B202,2026-08-02,Mon,4,10.0,wifi_log
B202,2026-08-02,Mon,5,26.0,wifi_log
B202,2026-08-02,Mon,6,24.0,wifi_log
B202,2026-08-02,Mon,7,18.0,wifi_log
B202,2026-08-02,Mon,8,,wifi_log
B202,2026-08-12,Tue,1,27.0,wifi_log
B202,2026-08-12,Tue,2,26.0,qr_checkin
B202,2026-08-12,Tue,3,25.0,wifi_log
B202,2026-08-12,Tue,4,,qr_checkin
